Apex: The Story of the Hypercar	2016	Chris Goodwin	NULL	NULL	[Chris Goodwin]
All You Need Is Love	2015	Lung Ti	1946	NULL	[Mr. Wu]
All Between Us	2018	Brian Hooks	NULL	NULL	[Ray]
Parallel World Love Story	2019	Yûta Tamamori	NULL	NULL	[Takashi Tsuruga]
Glory at Sea	1952	John Forrest	1931	2012	[Sub-Lieutenant Appleby RNVR]
Look in Any Window	1961	Robert Sampson	1933	2020	[Lindstrom]
The Price of Sin	1966	Tadeusz Lomnicki	1927	1992	[Dr. med. Maurer]
The Graduate	1967	Buck Henry	1930	2020	[Room Clerk]
Wait Until Dark	1967	Alan Arkin	1934	2023	[Roat]
Wait Until Dark	1967	Alan Arkin	1934	2023	[Roat Jr.]
Wait Until Dark	1967	Alan Arkin	1934	2023	[Roat Sr.]
A Star Is Born	1976	M.G. Kelly	1954	NULL	[Bebe Jesus]
Alison's Birthday	1981	Vincent Ball	1923	NULL	[Dr. Jeremy Lyall]
Blue Chips	1994	Penny Hardaway	1971	NULL	[Butch]
A Place for Annie	1994	David Spielberg	1939	2016	[Dr. Palmer]
The Profession of Arms	2001	Giancarlo Belelli	NULL	NULL	[Alfonso d'Este]
Sex and Death 101	2007	Simon Baker	1969	NULL	[Roderick Blank]
Stuck	2007	Russell Hornsby	1974	NULL	[Rashid]
The Wave	2008	Max Mauff	1987	NULL	[Kevin]
The Binding	2020	Roberto Negri	NULL	NULL	NULL
One for the Road	2021	Natara Nopparatayapon	NULL	NULL	[Aood]
Equation to an Unknown	1980	Gabsi	NULL	NULL	[Le junior]
A Warrior's Heart	2011	Aaron Hill	1983	NULL	[Joe Bryant]
A View of Love	2010	Romain Millot	NULL	NULL	[Marc enfant]
ATM	2012	Robert Huculak	NULL	NULL	[Robert]
Shadows on the Wall	2015	Damian Duke Domingue	NULL	NULL	[Clarke]
Forsaken	2018	Alexander Kulikov	1965	2016	[Chapaev]
Belzebuth	2017	Tate Ellington	1979	NULL	[Ivan Franco]
Top Coat Cash	2017	David Tittone	NULL	NULL	[Johnny Thompson]
Breakdown Forest - Reise in den Abgrund	2019	Claude-Oliver Rudolph	1956	NULL	[Ruprecht Knochenhauer]
Female Fight Squad	2016	Dolph Lundgren	1957	NULL	[Holt]
Outrage Coda	2017	Ikuji Nakamura	1953	NULL	[Detective Hirayama]
The Dancing Dogs of Dombrova	2018	Marius Stanescu	1966	NULL	[Boss]
Lovecut	2020	Max Kuess	NULL	NULL	[Ben]
T11 Incomplete	2020	George Morafetis	NULL	NULL	[Mr. Bronson]
City Hunter	2018	Gérard Jugnot	1951	NULL	[Le psy]
Amityville: Mt. Misery Rd.	2018	Chuck Morrongiello	NULL	NULL	[Charlie]
Jam	2018	Kanta Satô	1996	NULL	[Leslie Cheung]
Nana	1926	Claude Autant-Lara	1901	2000	[Fauchery]
For Me and My Gal	1942	Ernie Alexander	1890	1961	[Theater Workman with Big Die]
The Young Seducers	1971	Bernd Wilczewski	NULL	NULL	[Reichelt]
Comes a Horseman	1978	James Kline	NULL	NULL	[Ralph Cole]
I Wanna Hold Your Hand	1978	Eddie Deezen	1957	NULL	[Richard 'Ringo' Klaus]
City of Women	1980	Ettore Manni	1927	1979	[Dr. Xavier Katzone]
Robin Hood	1991	Jeroen Krabbé	1944	NULL	[Baron Roger Daguerre]
Philadelphia	1993	Mark Sorensen Jr.	1962	1993	[Clinic Patient]
A Place for Annie	1994	Jack Noseworthy	1964	NULL	[David]
Eyes Wide Shut	1999	Peter Hans Benson	NULL	NULL	[Bandleader]
An American Affair	2008	Jimmy Bellinger	NULL	NULL	[Jimmy]
Cute Devil	2018	Yûsuke Sugiyama	NULL	NULL	NULL
No Escapes	2020	Ivan Yankovskiy	1990	NULL	[Roman Ilyin]
Firstness	2021	Michael Bricker	NULL	NULL	[Richard]
The Queen of Spades	2016	Ivan Yankovskiy	1990	NULL	[Andrey]
