The Road to Edmond	2018	David Trotter	NULL	NULL
Camelot	1967	Joshua Logan	1908	1988
Love Happens	2009	Brandon Camp	1971	NULL
Deadly Code	2013	Gabriele Salvatores	1950	NULL
Rain	2020	Janno Jürgens	1985	NULL
The Hows of Us	2018	Cathy Garcia-Molina	NULL	NULL
I Love Maria	1988	David Chung	NULL	NULL
Amanda & the Alien	1995	Jon Kroll	NULL	NULL
Timecode	2000	Mike Figgis	1948	NULL
Lavell Crawford: The Comedy Vaccine	2021	Brian Volk-Weiss	1976	NULL
Little Women	2019	Greta Gerwig	1983	NULL
The Haunted Castle	1921	F.W. Murnau	1888	1931
Variety	1925	Ewald André Dupont	1891	1956
The Neanderthal Man	1953	Ewald André Dupont	1891	1956
The Girl from Pussycat	1969	Smythe David	NULL	NULL
Seven Swords	2005	Hark Tsui	1950	NULL
Mystery Team	2009	Dan Eckman	1984	NULL
Mother Wore Tights	1947	Walter Lang	1896	1972
1492: Conquest of Paradise	1992	Ridley Scott	1937	NULL
G.I. Jane	1997	Ridley Scott	1937	NULL
Disappearing Acts	2000	Gina Prince-Bythewood	NULL	NULL
Secretariat's Jockey: Ron Turcotte	2013	Phil Comeau	1956	NULL
The Brink	2017	Jonathan Li	NULL	NULL
The Domain	2019	Tiago Guedes	1971	NULL
Airport	1970	George Seaton	1911	1979
Candleshoe	1977	Norman Tokar	1919	1979
Project 'Gemini'	2022	Serik Beyseu	NULL	NULL
Frontier(s)	2007	Xavier Gens	1975	NULL
The Michaels	2014	Bradford May	1951	NULL
All Things Must Pass	2015	Colin Hanks	1977	NULL
Planet Single	2016	Mitja Okorn	1981	NULL
Homeroom	2021	Peter Nicks	NULL	NULL
Vengeance of the Phoenix Sisters	1968	Hung-Min Chen	1932	NULL
The Masque of the Red Death	1989	Alan Birkinshaw	1944	NULL
The Demon's Waltz	2021	Ryan Callaway	NULL	NULL
